Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Cleaning surfaces (product.metafields.shopify.cleaning-surfaces),Color (product.metafields.shopify.color-pattern),Dispenser type (product.metafields.shopify.dispenser-type),Fabric (product.metafields.shopify.fabric),Item style (product.metafields.shopify.item-style),Neckline (product.metafields.shopify.neckline),Personalization design (product.metafields.shopify.personalization-design),Size (product.metafields.shopify.size),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
11-11,11:11,"<p><meta charset=""utf-8"">In the past, matchboxes with Lucky Numbers were highly sought after.11:11 is serendipitous.<br>A sign of something meant to be. Make a wish before you strike.<br></p>
<!-- Accordion Sections -->
<div class=""product-accordion"">
<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details>
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden > Household Supplies,"","Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,,33.0,,-4,continue,manual,999.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/11_11.png?v=1759232480,1,"",false,,,,,,,,,,,,,,,,beige; red,,,,,,,,,g,,,active
11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Back_2746a058-7bdd-4038-9e28-fb25eba9c5c0.png?v=1759232480,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Side_6e5727a0-2002-4571-99ca-06ae16888116.png?v=1759232482,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gift-wrap,Add gift wrap,"",Maachis,Arts & Entertainment > Party & Celebration > Gift Giving > Gift Wrapping > Wrapping Paper,"","",true,Title,Default Title,,,,,,,,'100,0.0,,-25,deny,manual,30.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Gift_Wrap.png?v=1756735255,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
anti-nazar-gift-matchbox,Anti Nazar Matchbox,"<meta charset=""utf-8"">
<p>Nazar battu and nimbu-mirchi are centuries-old talismans, commonly seen guarding everything from homes to trucks.</p>
<p>Now introducing a two-in-one portable anti nazar matchbox - proven effective against your unfriendly neighbourhood uncles and aunties.</p>
<!-- Accordion Sections -->
<div class=""product-accordion"">
<details> <summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details> <details> <summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details> <details> <summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details> <details> <summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden,Matchboxes,"Handmade, Indian Matchboxes, Maachis, Vintage",true,Color,handpainted-black-box,product.metafields.shopify.color-pattern,,,,,,,,33.0,shopify,26,deny,manual,1200.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Frame48097619.png?v=1759753982,1,"",false,,,536,,,,,,,,,,,,hard-surfaces,handpainted-black-box; wood-base,box,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Frame48097619.png?v=1759753982,g,,,active
anti-nazar-gift-matchbox,,,,,,,,,wood-base,,,,,,,,,33.0,shopify,39,deny,manual,999.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Anti_nazar_front_wood_base_c15fe736-081d-4a41-8fc6-cec793c9b26f.png?v=1759816384,2,"",,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Anti_nazar_front_wood_base_c15fe736-081d-4a41-8fc6-cec793c9b26f.png?v=1759816384,g,,,
anti-nazar-gift-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Anti_Nazar_Back.png?v=1760527399,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti-nazar-gift-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Inside_the_box.png?v=1760538792,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti-nazar,Anti Nazar Postcard,"<p>Nazar battu and nimbu-mirchi are centuries-old talismans, commonly seen guarding everything from homes to trucks.</p>
<p>Now introducing a two-in-one portable anti nazar postcard- proven effective against your unfriendly neighbourhood uncles and aunties.</p>
<p><!-- Accordion Sections --></p>
<div class=""product-accordion"">
<details open="""">
<summary><strong>Materials</strong></summary>
<ul>
<li>Textured Paper</li>
<li>RSW 270 GSM</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Size: 5.5 x 4 inches</li>
</ul>
</details>
<details open="""">
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
</details>
</div>",Maachis,Office Supplies > General Office Supplies > Paper Products > Post Cards,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,250.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/AntiNazarFront.png?v=1759926906,1,"",false,,,3871,,,,,,,,,,,,,multicolor,,,retro-vintage; colorful; novelty,,printed,,art,,g,,,active
baby-you-are-my-firework-gift-matchbox,Baby You’re My Firework,"<p><meta charset=""utf-8""><span></span><span></span><span>This is a revival of vintage Indian matchbox art that once lit up festival nights, Now reimagined as a keepsake for those who shine brightest in your sky.</span></p>
<!-- Accordion Sections -->
<div class=""product-accordion"">
<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details>
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden,Matchboxes,"Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,,33.0,,64,deny,manual,999.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Indian-gift-matchbox-baby-you-are-my-firework.png?v=1759832562,1,Baby you’re my firework - quirky Indian gift,false,,,536,,,,,,,,,,,,,blue,,,,,,,,,g,,,active
baby-you-are-my-firework-gift-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Baby_back.png?v=1760538840,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
